utility_median_emply_inc_job, fin_insur_num_jobs_000, pro_tech_servc_median_emply_inc_job, tot_num_jobs_000, whsl_trade_median_emply_inc_job, pro_tech_servc_num_jobs_000, agri_frsty_fish_median_emply_inc_job, admt_supp_num_jobs_000, arts_rec_num_jobs_000, oth_median_emply_inc_job, tot_median_emply_inc_job, cons_median_emply_inc_job, rtl_trade_num_jobs_000, fin_insur_median_emply_inc_job, agri_frsty_fish_num_jobs_000, hlth_care_soc_asst_num_jobs_000, pub_admt_safety_num_jobs_000, utility_num_jobs_000, info_med_telecommunications_num_jobs_000, whsl_trade_num_jobs_000, trns_pstl_whse_num_jobs_000, mining_num_jobs_000, accom_food_median_emply_inc_job, sa2_name, accom_food_num_jobs_000, trns_pstl_whse_median_emply_inc_job, admt_supp_median_emply_inc_job, rent_hiring_rlst_median_emply_inc_job, hlth_care_soc_asst_median_emply_inc_job, mining_median_emply_inc_job, arts_rec_median_emply_inc_job, edu_training_median_emply_inc_job, rtl_trade_median_emply_inc_job, info_med_telecommunications_median_emply_inc_job, cons_num_jobs_000, sa2_main16, manu_num_jobs_000, pub_admt_safety_median_emply_inc_job, oth_num_jobs_000, manu_median_emply_inc_job, rent_hiring_rlst_num_jobs_000, edu_training_num_jobs_000
77821.5,0.42,21227.0,12.255,37105.0,0.494,11968.5,1.046,0.199,22003.0,24916.0,27233.0,1.516,29179.5,0.066,1.662,0.734,0.141,0.14,0.442,0.508,0.052,7328.0,"Gorokan - Kanwal - Charmhaven",1.181,50817.0,9968.0,23595.0,32832.0,100891.5,5380.0,30164.0,20271.0,28125.5,1.056,102021048,0.91,49957.0,0.441,44203.0,0.181,0.657
83438.0,0.067,43052.0,2.254,44877.5,0.153,24917.0,0.126,0.05,24856.0,25840.5,35561.5,0.213,39196.5,0.044,0.246,0.149,0.037,0.035,0.095,0.071,null,5741.0,"Jilliby - Yarramalong",0.173,47463.0,16112.0,32896.0,35157.0,null,2904.0,18236.0,14272.0,18903.5,0.23,102021049,0.14,47379.0,0.07,48165.0,0.052,0.222
93506.0,0.206,16622.0,5.835,37467.0,0.27,12894.5,0.552,0.079,19382.0,25742.0,29361.5,0.664,20289.0,0.04,0.695,0.355,0.09,0.05,0.196,0.205,0.068,7136.0,"Lake Munmorah - Mannering Park",0.468,49272.0,14758.0,25379.0,34677.0,116701.0,7481.0,31912.0,23793.0,6833.0,0.683,102021050,0.418,42036.0,0.188,45840.0,0.107,0.333
74825.0,0.148,39310.0,3.635,44042.0,0.238,21048.0,0.268,0.064,20646.0,29377.5,31243.0,0.354,49434.0,0.033,0.501,0.227,0.036,0.089,0.17,0.12,null,6111.0,"Ourimbah - Fountaindale",0.281,56735.5,19076.0,31442.0,36954.0,null,4733.0,33793.0,18946.0,46922.5,0.272,102021051,0.221,59315.5,0.12,42151.5,0.062,0.294
70199.0,0.143,24892.0,3.443,45870.0,0.144,null,0.319,0.028,24280.0,27557.5,33360.0,0.421,29237.0,null,0.385,0.184,0.048,0.034,0.132,0.156,0.031,7653.5,"Summerland Point - Gwandalan",0.23,53710.0,13861.0,23999.5,33294.5,114902.0,4361.0,32778.0,18857.0,28574.0,0.395,102021052,0.239,46370.5,0.109,47339.0,0.062,0.216
71351.5,0.506,30000.0,12.186,37944.0,0.534,15132.0,1.005,0.162,22029.0,28882.0,33554.0,1.327,38249.5,0.06,1.569,0.894,0.13,0.129,0.432,0.405,0.068,11721.0,"The Entrance",1.11,45460.0,12131.5,25200.0,37616.5,107386.5,5478.0,33599.0,21983.0,30761.0,1.11,102021053,0.764,55811.0,0.377,46790.5,0.282,0.82
92157.0,0.188,19276.5,5.172,37832.0,0.225,10842.0,0.424,0.076,17781.0,24036.5,29842.0,0.566,20103.0,0.024,0.672,0.326,0.071,0.068,0.18,0.177,0.036,8387.5,"Toukley - Norah Head",0.471,45516.0,8850.5,29757.0,34103.5,83530.0,1905.0,29653.0,17256.0,13393.5,0.552,102021054,0.315,37491.0,0.129,43520.0,0.1,0.382
89344.5,0.137,27692.0,3.573,47329.0,0.211,10481.0,0.266,0.054,24000.0,26980.5,25225.0,0.403,35456.0,0.022,0.424,0.239,0.031,0.075,0.161,0.14,null,7784.0,"Tuggerah - Kangy Angy",0.342,49296.5,12790.0,25471.5,32971.0,null,12666.0,31187.5,19524.5,41459.5,0.24,102021055,0.251,65119.0,0.138,48041.0,0.075,0.257
86313.0,0.378,31956.0,9.043,49376.0,0.445,14138.0,0.742,0.125,25349.0,30251.0,37761.5,1.066,35712.0,0.046,1.139,0.623,0.105,0.139,0.367,0.374,0.033,6779.5,"Warnervale - Wadalba",0.846,65948.0,11704.0,33222.0,37575.0,111367.0,5634.0,37983.0,21512.0,53746.0,0.753,102021056,0.644,58138.0,0.323,49975.5,0.147,0.479
62475.0,0.192,23229.0,5.124,38495.5,0.244,11724.0,0.466,0.103,20713.5,23998.0,29828.0,0.592,33046.0,0.041,0.624,0.266,0.048,0.07,0.228,0.239,null,6153.0,"Wyong",0.504,51951.0,9284.5,24350.0,31260.0,null,3483.5,34382.0,19111.0,45069.0,0.419,102021057,0.389,48042.0,0.188,48216.0,0.076,0.266
